PROJECT_NAME,INVYR,CYCLE,SUBCYCLE,CN,PRJ_CN,PPN_CN,PSTR_CN
"FIA-Urban Inventory of Chicago, IL",2019,1,4,810170895290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2020,1,5,810170896290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2016,1,1,810171091290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2017,1,2,810170788290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2020,2,1,810170847290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2021,2,2,810170903290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2022,2,3,810170959290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2021,1,6,810171049290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2022,1,7,810171142290487,148699,148700,552320953126144
"FIA-Urban Inventory of Chicago, IL",2018,1,3,810170951290487,148699,148700,552320953126144
